id,username,ip_address,login_time,failure_reason,location
3,admin,203.0.113.42,2024-06-01 02:00:00,WRONG_PASSWORD,China
4,admin,203.0.113.42,2024-06-01 02:00:10,WRONG_PASSWORD,China
5,admin,203.0.113.42,2024-06-01 02:00:20,WRONG_PASSWORD,China
6,admin,203.0.113.42,2024-06-01 02:00:30,WRONG_PASSWORD,China
7,admin,203.0.113.42,2024-06-01 02:00:40,WRONG_PASSWORD,China
8,root,203.0.113.42,2024-06-01 02:00:50,WRONG_PASSWORD,China
9,alice,41.57.106.22,2024-06-01 03:30:00,GEO_ANOMALY,Nigeria
12,admin,203.0.113.42,2024-06-01 02:00:00,WRONG_PASSWORD,China
13,admin,203.0.113.42,2024-06-01 02:00:10,WRONG_PASSWORD,China
14,admin,203.0.113.42,2024-06-01 02:00:20,WRONG_PASSWORD,China
15,admin,203.0.113.42,2024-06-01 02:00:30,WRONG_PASSWORD,China
16,admin,203.0.113.42,2024-06-01 02:00:40,WRONG_PASSWORD,China
17,root,203.0.113.42,2024-06-01 02:00:50,WRONG_PASSWORD,China
18,alice,41.57.106.22,2024-06-01 03:30:00,GEO_ANOMALY,Nigeria
