id,ip_address,total_score,risk_level,fail_count,geo_risk,time_risk,speed_risk,ml_prediction,calculated_at
6,203.0.113.42,90.0,CRITICAL,12,25.0,20.0,3.0,CRITICAL,2026-08-08 11:41:57
11,203.0.113.42,90.0,CRITICAL,12,25.0,20.0,3.0,CRITICAL,2026-08-08 12:55:46
16,203.0.113.42,90.0,CRITICAL,12,25.0,20.0,3.0,CRITICAL,2026-08-08 22:47:43
1,203.0.113.42,70.0,HIGH,6,25.0,20.0,2.0,HIGH,2026-07-28 21:42:16
8,41.57.106.22,45.0,MEDIUM,2,25.0,20.0,0.0,MEDIUM,2026-08-08 11:41:57
13,41.57.106.22,45.0,MEDIUM,2,25.0,20.0,0.0,MEDIUM,2026-08-08 12:55:46
18,41.57.106.22,45.0,MEDIUM,2,25.0,20.0,0.0,MEDIUM,2026-08-08 22:47:43
2,185.220.101.3,15.0,LOW,0,25.0,0.0,0.0,LOW,2026-07-28 21:42:16
3,41.57.106.22,15.0,LOW,1,25.0,20.0,0.0,LOW,2026-07-28 21:42:16
4,198.51.100.7,15.0,LOW,0,25.0,0.0,0.0,LOW,2026-07-28 21:42:16
5,192.168.1.10,15.0,LOW,0,0.0,0.0,0.0,LOW,2026-07-28 21:42:16
7,185.220.101.3,15.0,LOW,0,25.0,0.0,0.0,LOW,2026-08-08 11:41:57
9,198.51.100.7,15.0,LOW,0,25.0,0.0,0.0,LOW,2026-08-08 11:41:57
10,192.168.1.10,15.0,LOW,0,0.0,0.0,0.0,LOW,2026-08-08 11:41:57
12,185.220.101.3,15.0,LOW,0,25.0,0.0,0.0,LOW,2026-08-08 12:55:46
14,198.51.100.7,15.0,LOW,0,25.0,0.0,0.0,LOW,2026-08-08 12:55:46
15,192.168.1.10,15.0,LOW,0,0.0,0.0,0.0,LOW,2026-08-08 12:55:46
17,185.220.101.3,15.0,LOW,0,25.0,0.0,0.0,LOW,2026-08-08 22:47:43
19,198.51.100.7,15.0,LOW,0,25.0,0.0,0.0,LOW,2026-08-08 22:47:43
20,192.168.1.10,15.0,LOW,0,0.0,0.0,0.0,LOW,2026-08-08 22:47:43
