id,threat_type,source_ip,target_system,severity,detected_at,status,risk_score
21,OFF_HOURS_ATTACK,203.0.113.42,auth-server,MEDIUM,2026-08-08 12:55:46,OPEN,50.0
22,GEO_ANOMALY,41.57.106.22,auth-server,HIGH,2026-08-08 12:55:46,OPEN,65.0
23,OFF_HOURS_ATTACK,41.57.106.22,auth-server,MEDIUM,2026-08-08 12:55:46,OPEN,50.0
19,BRUTE_FORCE,203.0.113.42,auth-server,CRITICAL,2026-08-08 12:55:45,OPEN,99.0
20,GEO_ANOMALY,203.0.113.42,auth-server,HIGH,2026-08-08 12:55:45,OPEN,65.0
14,BRUTE_FORCE,203.0.113.42,auth-server,CRITICAL,2026-08-08 11:41:56,OPEN,99.0
15,GEO_ANOMALY,203.0.113.42,auth-server,HIGH,2026-08-08 11:41:56,OPEN,65.0
16,OFF_HOURS_ATTACK,203.0.113.42,auth-server,MEDIUM,2026-08-08 11:41:56,OPEN,50.0
17,GEO_ANOMALY,41.57.106.22,auth-server,HIGH,2026-08-08 11:41:56,OPEN,65.0
18,OFF_HOURS_ATTACK,41.57.106.22,auth-server,MEDIUM,2026-08-08 11:41:56,OPEN,50.0
5,BRUTE_FORCE,203.0.113.42,auth-server,CRITICAL,2026-07-28 21:42:15,OPEN,87.0
6,GEO_ANOMALY,203.0.113.42,auth-server,HIGH,2026-07-28 21:42:15,OPEN,65.0
7,OFF_HOURS_ATTACK,203.0.113.42,auth-server,MEDIUM,2026-07-28 21:42:15,OPEN,50.0
8,GEO_ANOMALY,41.57.106.22,auth-server,HIGH,2026-07-28 21:42:15,OPEN,65.0
9,OFF_HOURS_ATTACK,41.57.106.22,auth-server,MEDIUM,2026-07-28 21:42:15,OPEN,50.0
4,MALWARE,10.0.0.55,db-server,CRITICAL,2024-06-01 11:45:00,OPEN,95.0
13,MALWARE,10.0.0.55,db-server,CRITICAL,2024-06-01 11:45:00,OPEN,95.0
3,PORT_SCAN,198.51.100.7,web-server,HIGH,2024-06-01 10:30:00,OPEN,70.0
12,PORT_SCAN,198.51.100.7,web-server,HIGH,2024-06-01 10:30:00,OPEN,70.0
2,GEO_ANOMALY,41.57.106.22,auth-server,HIGH,2024-06-01 03:30:00,OPEN,65.0
11,GEO_ANOMALY,41.57.106.22,auth-server,HIGH,2024-06-01 03:30:00,OPEN,65.0
1,BRUTE_FORCE,203.0.113.42,auth-server,CRITICAL,2024-06-01 02:01:00,OPEN,85.0
10,BRUTE_FORCE,203.0.113.42,auth-server,CRITICAL,2024-06-01 02:01:00,OPEN,85.0
