% =============================================
% Cyber Threat Intelligence - Training Data
% Weka ARFF Format
% =============================================

@RELATION threat_risk

@ATTRIBUTE fail_count    NUMERIC
@ATTRIBUTE hour          NUMERIC
@ATTRIBUTE is_foreign    NUMERIC
@ATTRIBUTE attack_speed  NUMERIC
@ATTRIBUTE geo_risk      NUMERIC
@ATTRIBUTE time_risk     NUMERIC
@ATTRIBUTE risk_level    {LOW,MEDIUM,HIGH,CRITICAL}

@DATA
% --- LOW RISK ---
0,9,0,0,0,0,LOW
0,10,0,0,0,0,LOW
0,11,0,0,0,0,LOW
0,14,0,0,0,0,LOW
0,15,0,0,0,0,LOW
1,9,0,0,0,0,LOW
1,10,0,0,0,0,LOW
1,14,0,0,0,0,LOW
1,15,0,0,0,0,LOW
2,10,0,0,0,0,LOW
2,14,0,0,0,0,LOW
0,12,0,0,0,0,LOW
1,13,0,0,0,0,LOW
0,16,0,0,0,0,LOW
1,11,0,0,0,0,LOW

% --- MEDIUM RISK ---
2,20,0,1,0,10,MEDIUM
2,21,0,1,0,10,MEDIUM
3,20,0,1,0,10,MEDIUM
3,19,0,1,0,10,MEDIUM
2,8,1,0,15,0,MEDIUM
3,9,1,0,15,0,MEDIUM
2,7,1,1,15,10,MEDIUM
3,8,1,1,15,10,MEDIUM
4,10,0,1,0,0,MEDIUM
4,14,0,1,0,0,MEDIUM
3,22,0,1,0,10,MEDIUM
2,22,0,1,0,10,MEDIUM
3,7,1,0,15,0,MEDIUM
4,9,0,1,0,0,MEDIUM
2,19,0,1,0,10,MEDIUM

% --- HIGH RISK ---
4,2,1,2,25,20,HIGH
4,3,1,2,25,20,HIGH
5,22,1,1,25,10,HIGH
5,23,1,1,25,10,HIGH
4,1,1,2,25,20,HIGH
5,0,1,2,25,20,HIGH
6,22,0,2,0,10,HIGH
6,23,0,2,0,10,HIGH
5,21,1,2,25,10,HIGH
7,10,1,1,25,0,HIGH
6,2,0,3,0,20,HIGH
7,3,0,3,0,20,HIGH
5,1,1,2,25,20,HIGH
6,0,1,2,25,20,HIGH
7,22,0,2,0,10,HIGH

% --- CRITICAL RISK ---
6,3,1,3,25,20,CRITICAL
7,2,1,3,25,20,CRITICAL
8,1,1,3,25,20,CRITICAL
9,0,1,3,25,20,CRITICAL
10,2,1,3,25,20,CRITICAL
8,3,1,3,25,20,CRITICAL
9,4,1,3,25,20,CRITICAL
10,1,1,3,25,20,CRITICAL
8,2,0,3,0,20,CRITICAL
9,3,0,3,0,20,CRITICAL
10,4,0,3,0,20,CRITICAL
7,1,1,3,25,20,CRITICAL
8,0,1,3,25,20,CRITICAL
10,23,1,3,25,10,CRITICAL
9,22,1,3,25,10,CRITICAL
